"","region","year","alcohol_consumption","continent"
"839","United Arab Emirates",2018,3.9,"Asia"
"840","United Kingdom",2000,13.73,"Europe"
"841","United Kingdom",2005,13.89,"Europe"
"842","United Kingdom",2010,12.06,"Europe"
"843","United Kingdom",2015,11.21,"Europe"
"844","United Kingdom",2018,11.45,"Europe"
"845","United States",2000,9.19,"North America"
"846","United States",2005,9.49,"North America"
"847","United States",2010,9.36,"North America"
"848","United States",2015,9.82,"North America"
"849","United States",2018,9.87,"North America"
"850","Uruguay",2000,8.09,"South America"
"851","Uruguay",2005,7.46,"South America"
"852","Uruguay",2010,7.1,"South America"
"853","Uruguay",2015,6.99,"South America"
"854","Uruguay",2018,6.92,"South America"
"855","Uzbekistan",2000,5.68,"Asia"
"856","Uzbekistan",2005,4.15,"Asia"
"857","Uzbekistan",2010,3.01,"Asia"
"858","Uzbekistan",2015,2.59,"Asia"
"859","Uzbekistan",2018,2.59,"Asia"
"860","Vanuatu",2000,1.17,"Oceania"
"861","Vanuatu",2005,1.2,"Oceania"
"862","Vanuatu",2010,1.7,"Oceania"
"863","Vanuatu",2015,2.14,"Oceania"
"864","Vanuatu",2018,2.25,"Oceania"
"865","Venezuela",2000,9.15,"South America"
"866","Venezuela",2005,9.42,"South America"
"867","Venezuela",2010,8.67,"South America"
"868","Venezuela",2015,6.82,"South America"
"869","Venezuela",2018,4.14,"South America"
"870","Vietnam",2000,2.21,"Asia"
"871","Vietnam",2005,2.63,"Asia"
"872","Vietnam",2010,4.9,"Asia"
"873","Vietnam",2015,7.86,"Asia"
"874","Vietnam",2018,8.66,"Asia"
"875","Yemen",2000,0.79,"Asia"
"876","Yemen",2005,0.34,"Asia"
"877","Yemen",2010,0.18,"Asia"
"878","Yemen",2015,0.055,"Asia"
"879","Yemen",2018,0.051,"Asia"
"880","Zambia",2000,4.05,"Africa"
"881","Zambia",2005,3.9,"Africa"
"882","Zambia",2010,5.43,"Africa"
"883","Zambia",2015,6.89,"Africa"
"884","Zambia",2018,6.54,"Africa"
"885","Zimbabwe",2000,2.46,"Africa"
"886","Zimbabwe",2005,2.77,"Africa"
"887","Zimbabwe",2010,3.93,"Africa"
"888","Zimbabwe",2015,4.92,"Africa"
"889","Zimbabwe",2018,4.67,"Africa"
