"","region","year","literacy_rates","continent"
"951","Saudi Arabia",2013,94.426338,"Asia"
"952","Saudi Arabia",2015,94.842369,"Asia"
"953","Senegal",1988,26.868851,"Africa"
"954","Senegal",2002,39.275249,"Africa"
"955","Senegal",2006,41.891151,"Africa"
"956","Senegal",2009,49.695129,"Africa"
"957","Senegal",2011,52.05196,"Africa"
"958","Senegal",2013,42.817501,"Africa"
"959","Senegal",2015,55.624851,"Africa"
"960","Serbia",2003,96.39724,"Europe"
"961","Serbia",2011,97.96241,"Europe"
"962","Serbia",2015,98.002892,"Europe"
"963","Seychelles",1987,84.229218,"Africa"
"964","Seychelles",1994,87.81115,"Africa"
"965","Seychelles",2002,91.836456,"Africa"
"966","Seychelles",2010,93.954231,"Africa"
"967","Seychelles",2015,95.321083,"Africa"
"968","Sierra Leone",2004,34.82679,"Africa"
"969","Sierra Leone",2014,47.186241,"Africa"
"970","Sierra Leone",2015,48.4319,"Africa"
"971","Singapore",1980,82.906052,"Asia"
"972","Singapore",1990,89.096001,"Asia"
"973","Singapore",2000,92.5494,"Asia"
"974","Singapore",2010,95.85733,"Asia"
"975","Singapore",2011,96.179337,"Asia"
"976","Singapore",2012,96.36306,"Asia"
"977","Singapore",2013,96.540154,"Asia"
"978","Singapore",2014,96.71666,"Asia"
"979","Singapore",2015,96.774628,"Asia"
"980","Slovakia",2004,99.599998,"Europe"
"981","Slovenia",1991,99.524521,"Europe"
"982","Slovenia",2004,99.651787,"Europe"
"983","Slovenia",2014,99.710052,"Europe"
"984","Slovenia",2015,99.71476,"Europe"
"985","Solomon Islands",1999,76.599998,"Oceania"
"986","Solomon Islands",2011,84.099998,"Oceania"
"987","Somalia",2001,37.799999,"Africa"
"988","South Africa",1980,76.200493,"Africa"
"989","South Africa",1996,82.4021,"Africa"
"990","South Africa",2007,88.717247,"Africa"
"991","South Africa",2009,92.894859,"Africa"
"992","South Africa",2010,92.877319,"Africa"
"993","South Africa",2011,93.102142,"Africa"
"994","South Africa",2012,93.729469,"Africa"
"995","South Africa",2014,94.1399,"Africa"
"996","South Africa",2015,94.597939,"Africa"
"997","South Korea",2008,97.965942,"Asia"
"998","South Sudan",2008,26.83128,"Africa"
"999","South Sudan",2015,31.97625,"Africa"
"1000","Spain",1475,3,"Europe"
"1001","Spain",1550,4,"Europe"
"1002","Spain",1650,5,"Europe"
"1003","Spain",1750,8,"Europe"
"1004","Spain",1820,20,"Europe"
"1005","Spain",1870,30,"Europe"
"1006","Spain",1981,92.809769,"Europe"
"1007","Spain",1991,96.494972,"Europe"
"1008","Spain",2004,97.165123,"Europe"
"1009","Spain",2005,97.750687,"Europe"
"1010","Spain",2007,97.938843,"Europe"
"1011","Spain",2008,97.630608,"Europe"
"1012","Spain",2009,97.679268,"Europe"
"1013","Spain",2010,97.748901,"Europe"
"1014","Spain",2011,97.783752,"Europe"
"1015","Spain",2012,97.894539,"Europe"
"1016","Spain",2013,98.079132,"Europe"
"1017","Spain",2014,98.093979,"Europe"
"1018","Spain",2015,98.11451,"Europe"
"1019","Sri Lanka",1981,86.777924,"Asia"
"1020","Sri Lanka",2001,90.682747,"Asia"
"1021","Sri Lanka",2006,90.80883,"Asia"
"1022","Sri Lanka",2008,90.557953,"Asia"
"1023","Sri Lanka",2010,91.181358,"Asia"
"1024","Sri Lanka",2015,92.614166,"Asia"
"1025","Sudan",2000,61.345871,"Africa"
"1026","Sudan",2008,53.51738,"Africa"
"1027","Sudan",2015,58.601318,"Africa"
"1028","Suriname",2004,89.598061,"South America"
"1029","Suriname",2008,94.620941,"South America"
"1030","Suriname",2010,94.675751,"South America"
"1031","Suriname",2015,95.538986,"South America"
"1032","Sweden",1475,1,"Europe"
"1033","Sweden",1550,1,"Europe"
"1034","Sweden",1650,23,"Europe"
"1035","Sweden",1750,48,"Europe"
"1036","Sweden",1820,75,"Europe"
"1037","Sweden",1870,80,"Europe"
"1038","Sweden",2003,99,"Europe"
"1039","Switzerland",2003,99,"Europe"
"1040","Syria",1981,55.654499,"Asia"
"1041","Syria",2002,82.888252,"Asia"
"1042","Syria",2004,80.844521,"Asia"
"1043","Syria",2014,85.915817,"Asia"
"1044","Syria",2015,86.303932,"Asia"
"1045","Tajikistan",1989,97.694023,"Asia"
"1046","Tajikistan",2000,99.451248,"Asia"
"1047","Tajikistan",2014,99.76841,"Asia"
"1048","Tajikistan",2015,99.781052,"Asia"
"1049","Tanzania",1988,59.1138,"Africa"
"1050","Tanzania",2002,69.430901,"Africa"
"1051","Tanzania",2010,67.800697,"Africa"
"1052","Tanzania",2012,78.100594,"Africa"
"1053","Tanzania",2015,80.359497,"Africa"
"1054","Thailand",1980,87.981758,"Asia"
"1055","Thailand",2000,92.646538,"Asia"
"1056","Thailand",2005,93.506477,"Asia"
"1057","Thailand",2010,96.430908,"Asia"
"1058","Thailand",2013,93.702072,"Asia"
"1059","Thailand",2015,93.983017,"Asia"
"1060","Togo",2000,53.177601,"Africa"
"1061","Togo",2006,56.888371,"Africa"
"1062","Togo",2009,57.09338,"Africa"
"1063","Togo",2011,60.409939,"Africa"
"1064","Togo",2015,66.53759,"Africa"
"1065","Tonga",1976,99.592461,"Oceania"
"1066","Tonga",1996,98.905373,"Oceania"
"1067","Tonga",2006,99.018463,"Oceania"
"1068","Tonga",2011,99.385529,"Oceania"
"1069","Tonga",2015,99.397858,"Oceania"
"1070","Trinidad and Tobago",1980,94.970322,"North America"
"1071","Trinidad and Tobago",1990,96.938553,"North America"
"1072","Trinidad and Tobago",2004,98.288513,"North America"
"1073","Trinidad and Tobago",2014,98.919487,"North America"
"1074","Trinidad and Tobago",2015,98.969582,"North America"
"1075","Tunisia",1984,48.190701,"Africa"
"1076","Tunisia",1994,59.06181,"Africa"
"1077","Tunisia",2004,74.296997,"Africa"
"1078","Tunisia",2007,77.190399,"Africa"
"1079","Tunisia",2008,77.561127,"Africa"
"1080","Tunisia",2010,79.130577,"Africa"
"1081","Tunisia",2011,79.653908,"Africa"
"1082","Tunisia",2012,80.21875,"Africa"
"1083","Tunisia",2015,81.054192,"Africa"
"1084","Turkey",1975,61.627682,"Asia"
"1085","Turkey",1980,65.694344,"Asia"
"1086","Turkey",1985,75.968239,"Asia"
"1087","Turkey",1990,79.232452,"Asia"
"1088","Turkey",2004,87.365494,"Asia"
"1089","Turkey",2005,88.229057,"Asia"
"1090","Turkey",2006,88.119392,"Asia"
"1091","Turkey",2007,88.655899,"Asia"
"1092","Turkey",2009,90.816719,"Asia"
"1093","Turkey",2010,92.660599,"Asia"
"1094","Turkey",2011,94.106087,"Asia"
"1095","Turkey",2012,94.919746,"Asia"
"1096","Turkey",2013,95.25666,"Asia"
"1097","Turkey",2014,95.439629,"Asia"
"1098","Turkey",2015,95.688103,"Asia"
"1099","Turkmenistan",1995,98.77832,"Asia"
"1100","Turkmenistan",2014,99.672852,"Asia"
"1101","Turkmenistan",2015,99.692932,"Asia"
"1102","Uganda",1991,56.10738,"Africa"
"1103","Uganda",2002,68.142509,"Africa"
"1104","Uganda",2006,71.373138,"Africa"
"1105","Uganda",2010,73.211884,"Africa"
"1106","Uganda",2012,70.198219,"Africa"
"1107","Uganda",2015,73.809837,"Africa"
"1108","Ukraine",2001,99.430412,"Europe"
"1109","Ukraine",2014,99.753471,"Europe"
"1110","Ukraine",2015,99.764107,"Europe"
"1111","United Arab Emirates",1975,53.514881,"Asia"
"1112","United Arab Emirates",1985,71.235298,"Asia"
"1113","United Arab Emirates",2005,90.033852,"Asia"
"1114","United Arab Emirates",2015,92.986366,"Asia"
"1115","United Kingdom",1475,5,"Europe"
"1116","United Kingdom",1550,16,"Europe"
"1117","United Kingdom",1650,53,"Europe"
"1118","United Kingdom",1750,54,"Europe"
"1119","United Kingdom",1820,53,"Europe"
"1120","United Kingdom",1870,76,"Europe"
"1121","United Kingdom",2003,99,"Europe"
"1122","United States",1870,80,"North America"
"1123","United States",1880,83,"North America"
"1124","United States",1890,86.699997,"North America"
"1125","United States",1900,89.300003,"North America"
"1126","United States",1910,92.300003,"North America"
"1127","United States",1920,94,"North America"
"1128","United States",1930,95.699997,"North America"
"1129","United States",1940,97.099998,"North America"
"1130","United States",1947,97.300003,"North America"
"1131","United States",1950,96.800003,"North America"
"1132","United States",1952,97.5,"North America"
"1133","United States",1959,97.800003,"North America"
"1134","United States",1969,99,"North America"
"1135","United States",1979,99.400002,"North America"
"1136","United States",2003,99,"North America"
"1137","Uruguay",1900,59,"South America"
"1138","Uruguay",1910,65,"South America"
"1139","Uruguay",1920,70,"South America"
"1140","Uruguay",1930,76,"South America"
"1141","Uruguay",1940,81,"South America"
"1142","Uruguay",1950,86,"South America"
"1143","Uruguay",1960,89,"South America"
"1144","Uruguay",1970,93,"South America"
"1145","Uruguay",1971,93,"South America"
"1146","Uruguay",1972,93,"South America"
"1147","Uruguay",1973,93,"South America"
"1148","Uruguay",1974,94,"South America"
"1149","Uruguay",1975,93.861069,"South America"
"1150","Uruguay",1985,95.379982,"South America"
"1151","Uruguay",1996,96.781807,"South America"
"1152","Uruguay",2006,97.789627,"South America"
"1153","Uruguay",2007,97.863892,"South America"
"1154","Uruguay",2008,98.163559,"South America"
"1155","Uruguay",2009,98.267899,"South America"
"1156","Uruguay",2010,98.072708,"South America"
"1157","Uruguay",2011,98.335899,"South America"
"1158","Uruguay",2012,98.395943,"South America"
"1159","Uruguay",2013,98.363869,"South America"
"1160","Uruguay",2014,98.435928,"South America"
"1161","Uruguay",2015,98.442101,"South America"
"1162","Uzbekistan",2000,98.642578,"Asia"
"1163","Uzbekistan",2013,99.994858,"Asia"
"1164","Uzbekistan",2014,99.980553,"Asia"
"1165","Uzbekistan",2015,99.995193,"Asia"
"1166","Vanuatu",1979,52.87392,"Oceania"
"1167","Vanuatu",1994,68.46003,"Oceania"
"1168","Vanuatu",1999,74,"Oceania"
"1169","Vanuatu",2004,78.080978,"Oceania"
"1170","Vanuatu",2014,84.510811,"Oceania"
"1171","Vanuatu",2015,85.058678,"Oceania"
"1172","Venezuela",1900,28,"South America"
"1173","Venezuela",1910,29,"South America"
"1174","Venezuela",1920,32,"South America"
"1175","Venezuela",1930,36,"South America"
"1176","Venezuela",1940,42,"South America"
"1177","Venezuela",1950,51,"South America"
"1178","Venezuela",1960,62,"South America"
"1179","Venezuela",1970,76,"South America"
"1180","Venezuela",1971,77,"South America"
"1181","Venezuela",1972,78,"South America"
"1182","Venezuela",1973,79,"South America"
"1183","Venezuela",1974,80,"South America"
"1184","Venezuela",1975,80,"South America"
"1185","Venezuela",1976,81,"South America"
"1186","Venezuela",1977,82,"South America"
"1187","Venezuela",1978,83,"South America"
"1188","Venezuela",1979,83,"South America"
"1189","Venezuela",1980,84,"South America"
"1190","Venezuela",1981,84.732201,"South America"
"1191","Venezuela",1990,89.825249,"South America"
"1192","Venezuela",2001,92.979828,"South America"
"1193","Venezuela",2007,95.15464,"South America"
"1194","Venezuela",2009,95.511993,"South America"
"1195","Venezuela",2011,94.770218,"South America"
"1196","Venezuela",2015,95.399246,"South America"
"1197","Vietnam",1979,83.825943,"Asia"
"1198","Vietnam",1989,87.596451,"Asia"
"1199","Vietnam",1999,90.278297,"Asia"
"1200","Vietnam",2000,90.156128,"Asia"
"1201","Vietnam",2009,93.520447,"Asia"
"1202","Vietnam",2015,94.514267,"Asia"
"1203","Yemen",1994,37.09,"Asia"
"1204","Yemen",2004,54.199181,"Asia"
"1205","Yemen",2014,68.789421,"Asia"
"1206","Yemen",2015,69.961952,"Asia"
"1207","Zambia",1990,64.99826,"Africa"
"1208","Zambia",1999,68.001793,"Africa"
"1209","Zambia",2002,69.149223,"Africa"
"1210","Zambia",2007,61.428291,"Africa"
"1211","Zambia",2010,83.007668,"Africa"
"1212","Zambia",2015,85.117264,"Africa"
"1213","Zimbabwe",1982,77.794167,"Africa"
"1214","Zimbabwe",1992,83.512581,"Africa"
"1215","Zimbabwe",2011,83.58271,"Africa"
"1216","Zimbabwe",2015,86.873482,"Africa"
